2025-12-29 03:24:43 - mkk_comic - app.py:863 - INFO - 运行环境：GitHub Actions（自动化模式）
2025-12-29 03:24:43 - mkk_comic - app.py:820 - INFO - ===== 开始检查更新=====
2025-12-29 03:24:43 - mkk_comic - app.py:838 - INFO - 【名侦探柯南】上次下载至第11章
2025-12-29 03:24:44 - mkk_comic - app.py:845 - INFO - 【名侦探柯南】检测到更新！最新：271章
2025-12-29 03:24:44 - mkk_comic - app.py:848 - INFO - 【名侦探柯南】最大下载限制为2章-需下载12~13章）
2025-12-29 03:24:45 - mkk_comic - app.py:494 - INFO - 正在下载第12章: 第12卷    UUID:e0f6afea-c85c-11e8-8859-024352452ce0
2025-12-29 03:24:46 - mkk_comic - app.py:502 - INFO - 创建目录: ./out/名偵探柯南/第12卷
2025-12-29 03:24:46 - mkk_comic - app.py:505 - INFO - 开始下载: 名偵探柯南 - 第12卷
2025-12-29 03:24:46 - mkk_comic - app.py:506 - INFO - 总页数: 182
2025-12-29 03:24:46 - mkk_comic - app.py:582 - INFO - 正在下载第 001/182 页...
2025-12-29 03:24:46 - mkk_comic - app.py:582 - INFO - 正在下载第 002/182 页...
2025-12-29 03:24:46 - mkk_comic - app.py:582 - INFO - 正在下载第 003/182 页...
2025-12-29 03:24:46 - mkk_comic - app.py:582 - INFO - 正在下载第 004/182 页...
2025-12-29 03:24:46 - mkk_comic - app.py:582 - INFO - 正在下载第 005/182 页...
2025-12-29 03:24:46 - mkk_comic - app.py:582 - INFO - 正在下载第 006/182 页...
2025-12-29 03:24:46 - mkk_comic - app.py:582 - INFO - 正在下载第 007/182 页...
2025-12-29 03:24:46 - mkk_comic - app.py:582 - INFO - 正在下载第 008/182 页...
2025-12-29 03:24:46 - mkk_comic - app.py:582 - INFO - 正在下载第 009/182 页...
2025-12-29 03:24:46 - mkk_comic - app.py:582 - INFO - 正在下载第 010/182 页...
2025-12-29 03:24:46 - mkk_comic - app.py:582 - INFO - 正在下载第 011/182 页...
2025-12-29 03:24:46 - mkk_comic - app.py:582 - INFO - 正在下载第 012/182 页...
2025-12-29 03:24:46 - mkk_comic - app.py:582 - INFO - 正在下载第 013/182 页...
2025-12-29 03:24:46 - mkk_comic - app.py:582 - INFO - 正在下载第 014/182 页...
2025-12-29 03:24:46 - mkk_comic - app.py:582 - INFO - 正在下载第 015/182 页...
2025-12-29 03:24:46 - mkk_comic - app.py:582 - INFO - 正在下载第 016/182 页...
2025-12-29 03:24:46 - mkk_comic - app.py:582 - INFO - 正在下载第 017/182 页...
2025-12-29 03:24:46 - mkk_comic - app.py:582 - INFO - 正在下载第 018/182 页...
2025-12-29 03:24:47 - mkk_comic - app.py:582 - INFO - 正在下载第 019/182 页...
2025-12-29 03:24:47 - mkk_comic - app.py:582 - INFO - 正在下载第 020/182 页...
2025-12-29 03:24:47 - mkk_comic - app.py:582 - INFO - 正在下载第 021/182 页...
2025-12-29 03:24:47 - mkk_comic - app.py:582 - INFO - 正在下载第 022/182 页...
2025-12-29 03:24:47 - mkk_comic - app.py:582 - INFO - 正在下载第 023/182 页...
2025-12-29 03:24:47 - mkk_comic - app.py:582 - INFO - 正在下载第 024/182 页...
2025-12-29 03:24:47 - mkk_comic - app.py:582 - INFO - 正在下载第 025/182 页...
2025-12-29 03:24:47 - mkk_comic - app.py:582 - INFO - 正在下载第 026/182 页...
2025-12-29 03:24:47 - mkk_comic - app.py:582 - INFO - 正在下载第 027/182 页...
2025-12-29 03:24:47 - mkk_comic - app.py:582 - INFO - 正在下载第 028/182 页...
2025-12-29 03:24:47 - mkk_comic - app.py:582 - INFO - 正在下载第 029/182 页...
2025-12-29 03:24:47 - mkk_comic - app.py:582 - INFO - 正在下载第 030/182 页...
2025-12-29 03:24:47 - mkk_comic - app.py:582 - INFO - 正在下载第 031/182 页...
2025-12-29 03:24:47 - mkk_comic - app.py:582 - INFO - 正在下载第 032/182 页...
2025-12-29 03:24:47 - mkk_comic - app.py:582 - INFO - 正在下载第 033/182 页...
2025-12-29 03:24:47 - mkk_comic - app.py:582 - INFO - 正在下载第 034/182 页...
2025-12-29 03:24:47 - mkk_comic - app.py:582 - INFO - 正在下载第 035/182 页...
2025-12-29 03:24:47 - mkk_comic - app.py:582 - INFO - 正在下载第 036/182 页...
2025-12-29 03:24:47 - mkk_comic - app.py:582 - INFO - 正在下载第 037/182 页...
2025-12-29 03:24:47 - mkk_comic - app.py:582 - INFO - 正在下载第 038/182 页...
2025-12-29 03:24:47 - mkk_comic - app.py:582 - INFO - 正在下载第 039/182 页...
2025-12-29 03:24:47 - mkk_comic - app.py:582 - INFO - 正在下载第 040/182 页...
2025-12-29 03:24:47 - mkk_comic - app.py:582 - INFO - 正在下载第 041/182 页...
2025-12-29 03:24:47 - mkk_comic - app.py:582 - INFO - 正在下载第 042/182 页...
2025-12-29 03:24:47 - mkk_comic - app.py:582 - INFO - 正在下载第 043/182 页...
2025-12-29 03:24:47 - mkk_comic - app.py:582 - INFO - 正在下载第 044/182 页...
2025-12-29 03:24:47 - mkk_comic - app.py:582 - INFO - 正在下载第 045/182 页...
2025-12-29 03:24:48 - mkk_comic - app.py:582 - INFO - 正在下载第 046/182 页...
2025-12-29 03:24:48 - mkk_comic - app.py:582 - INFO - 正在下载第 047/182 页...
2025-12-29 03:24:48 - mkk_comic - app.py:582 - INFO - 正在下载第 048/182 页...
2025-12-29 03:24:48 - mkk_comic - app.py:582 - INFO - 正在下载第 049/182 页...
2025-12-29 03:24:48 - mkk_comic - app.py:582 - INFO - 正在下载第 050/182 页...
2025-12-29 03:24:48 - mkk_comic - app.py:582 - INFO - 正在下载第 051/182 页...
2025-12-29 03:24:48 - mkk_comic - app.py:582 - INFO - 正在下载第 052/182 页...
2025-12-29 03:24:48 - mkk_comic - app.py:582 - INFO - 正在下载第 053/182 页...
2025-12-29 03:24:48 - mkk_comic - app.py:582 - INFO - 正在下载第 054/182 页...
2025-12-29 03:24:48 - mkk_comic - app.py:582 - INFO - 正在下载第 055/182 页...
2025-12-29 03:24:48 - mkk_comic - app.py:582 - INFO - 正在下载第 056/182 页...
