2026-01-04 03:27:09 - mkk_comic - app.py:863 - INFO - 运行环境：GitHub Actions（自动化模式）
2026-01-04 03:27:09 - mkk_comic - app.py:820 - INFO - ===== 开始检查更新=====
2026-01-04 03:27:09 - mkk_comic - app.py:838 - INFO - 【名侦探柯南】上次下载至第23章
2026-01-04 03:27:10 - mkk_comic - app.py:845 - INFO - 【名侦探柯南】检测到更新！最新：272章
2026-01-04 03:27:10 - mkk_comic - app.py:848 - INFO - 【名侦探柯南】最大下载限制为2章-需下载24~25章）
2026-01-04 03:27:11 - mkk_comic - app.py:494 - INFO - 正在下载第24章: 第24卷    UUID:95a3774a-c85d-11e8-8859-024352452ce0
2026-01-04 03:27:11 - mkk_comic - app.py:502 - INFO - 创建目录: ./out/名偵探柯南/第24卷
2026-01-04 03:27:11 - mkk_comic - app.py:505 - INFO - 开始下载: 名偵探柯南 - 第24卷
2026-01-04 03:27:11 - mkk_comic - app.py:506 - INFO - 总页数: 193
2026-01-04 03:27:11 - mkk_comic - app.py:582 - INFO - 正在下载第 001/193 页...
2026-01-04 03:27:11 - mkk_comic - app.py:582 - INFO - 正在下载第 002/193 页...
2026-01-04 03:27:11 - mkk_comic - app.py:582 - INFO - 正在下载第 003/193 页...
2026-01-04 03:27:11 - mkk_comic - app.py:582 - INFO - 正在下载第 004/193 页...
2026-01-04 03:27:11 - mkk_comic - app.py:582 - INFO - 正在下载第 005/193 页...
2026-01-04 03:27:12 - mkk_comic - app.py:582 - INFO - 正在下载第 006/193 页...
2026-01-04 03:27:12 - mkk_comic - app.py:582 - INFO - 正在下载第 007/193 页...
2026-01-04 03:27:12 - mkk_comic - app.py:582 - INFO - 正在下载第 008/193 页...
2026-01-04 03:27:12 - mkk_comic - app.py:582 - INFO - 正在下载第 009/193 页...
2026-01-04 03:27:12 - mkk_comic - app.py:582 - INFO - 正在下载第 010/193 页...
2026-01-04 03:27:12 - mkk_comic - app.py:582 - INFO - 正在下载第 011/193 页...
2026-01-04 03:27:12 - mkk_comic - app.py:582 - INFO - 正在下载第 012/193 页...
2026-01-04 03:27:12 - mkk_comic - app.py:582 - INFO - 正在下载第 013/193 页...
2026-01-04 03:27:12 - mkk_comic - app.py:582 - INFO - 正在下载第 014/193 页...
2026-01-04 03:27:12 - mkk_comic - app.py:582 - INFO - 正在下载第 015/193 页...
2026-01-04 03:27:12 - mkk_comic - app.py:582 - INFO - 正在下载第 016/193 页...
2026-01-04 03:27:12 - mkk_comic - app.py:582 - INFO - 正在下载第 017/193 页...
2026-01-04 03:27:12 - mkk_comic - app.py:582 - INFO - 正在下载第 018/193 页...
2026-01-04 03:27:12 - mkk_comic - app.py:582 - INFO - 正在下载第 019/193 页...
2026-01-04 03:27:12 - mkk_comic - app.py:582 - INFO - 正在下载第 020/193 页...
2026-01-04 03:27:12 - mkk_comic - app.py:582 - INFO - 正在下载第 021/193 页...
2026-01-04 03:27:12 - mkk_comic - app.py:582 - INFO - 正在下载第 022/193 页...
2026-01-04 03:27:12 - mkk_comic - app.py:582 - INFO - 正在下载第 023/193 页...
2026-01-04 03:27:12 - mkk_comic - app.py:582 - INFO - 正在下载第 024/193 页...
2026-01-04 03:27:12 - mkk_comic - app.py:582 - INFO - 正在下载第 025/193 页...
2026-01-04 03:27:12 - mkk_comic - app.py:582 - INFO - 正在下载第 026/193 页...
