2026-01-10 03:10:23 - mkk_comic - app.py:863 - INFO - 运行环境：GitHub Actions（自动化模式）
2026-01-10 03:10:23 - mkk_comic - app.py:820 - INFO - ===== 开始检查更新=====
2026-01-10 03:10:23 - mkk_comic - app.py:838 - INFO - 【名侦探柯南】上次下载至第35章
2026-01-10 03:10:24 - mkk_comic - app.py:845 - INFO - 【名侦探柯南】检测到更新！最新：272章
2026-01-10 03:10:24 - mkk_comic - app.py:848 - INFO - 【名侦探柯南】最大下载限制为2章-需下载36~37章）
2026-01-10 03:10:25 - mkk_comic - app.py:494 - INFO - 正在下载第36章: 第36卷    UUID:8c454b4b-c85e-11e8-8859-024352452ce0
2026-01-10 03:10:26 - mkk_comic - app.py:502 - INFO - 创建目录: ./out/名偵探柯南/第36卷
2026-01-10 03:10:26 - mkk_comic - app.py:505 - INFO - 开始下载: 名偵探柯南 - 第36卷
2026-01-10 03:10:26 - mkk_comic - app.py:506 - INFO - 总页数: 186
2026-01-10 03:10:26 - mkk_comic - app.py:582 - INFO - 正在下载第 001/186 页...
2026-01-10 03:10:26 - mkk_comic - app.py:582 - INFO - 正在下载第 002/186 页...
2026-01-10 03:10:26 - mkk_comic - app.py:582 - INFO - 正在下载第 003/186 页...
2026-01-10 03:10:26 - mkk_comic - app.py:582 - INFO - 正在下载第 004/186 页...
2026-01-10 03:10:26 - mkk_comic - app.py:582 - INFO - 正在下载第 005/186 页...
2026-01-10 03:10:26 - mkk_comic - app.py:582 - INFO - 正在下载第 006/186 页...
2026-01-10 03:10:26 - mkk_comic - app.py:582 - INFO - 正在下载第 007/186 页...
2026-01-10 03:10:26 - mkk_comic - app.py:582 - INFO - 正在下载第 008/186 页...
2026-01-10 03:10:26 - mkk_comic - app.py:582 - INFO - 正在下载第 009/186 页...
2026-01-10 03:10:26 - mkk_comic - app.py:582 - INFO - 正在下载第 010/186 页...
2026-01-10 03:10:26 - mkk_comic - app.py:582 - INFO - 正在下载第 011/186 页...
2026-01-10 03:10:26 - mkk_comic - app.py:582 - INFO - 正在下载第 012/186 页...
2026-01-10 03:10:26 - mkk_comic - app.py:582 - INFO - 正在下载第 013/186 页...
2026-01-10 03:10:26 - mkk_comic - app.py:582 - INFO - 正在下载第 014/186 页...
2026-01-10 03:10:26 - mkk_comic - app.py:582 - INFO - 正在下载第 015/186 页...
2026-01-10 03:10:26 - mkk_comic - app.py:582 - INFO - 正在下载第 016/186 页...
2026-01-10 03:10:27 - mkk_comic - app.py:582 - INFO - 正在下载第 017/186 页...
2026-01-10 03:10:27 - mkk_comic - app.py:582 - INFO - 正在下载第 018/186 页...
2026-01-10 03:10:27 - mkk_comic - app.py:582 - INFO - 正在下载第 019/186 页...
2026-01-10 03:10:27 - mkk_comic - app.py:582 - INFO - 正在下载第 020/186 页...
2026-01-10 03:10:27 - mkk_comic - app.py:582 - INFO - 正在下载第 021/186 页...
