2026-01-11 03:26:22 - mkk_comic - app.py:863 - INFO - 运行环境：GitHub Actions（自动化模式）
2026-01-11 03:26:22 - mkk_comic - app.py:820 - INFO - ===== 开始检查更新=====
2026-01-11 03:26:22 - mkk_comic - app.py:838 - INFO - 【名侦探柯南】上次下载至第37章
2026-01-11 03:26:23 - mkk_comic - app.py:845 - INFO - 【名侦探柯南】检测到更新！最新：272章
2026-01-11 03:26:23 - mkk_comic - app.py:848 - INFO - 【名侦探柯南】最大下载限制为2章-需下载38~39章）
2026-01-11 03:26:23 - mkk_comic - app.py:494 - INFO - 正在下载第38章: 第38卷    UUID:9711f629-c85e-11e8-8859-024352452ce0
2026-01-11 03:26:24 - mkk_comic - app.py:502 - INFO - 创建目录: ./out/名偵探柯南/第38卷
2026-01-11 03:26:24 - mkk_comic - app.py:505 - INFO - 开始下载: 名偵探柯南 - 第38卷
2026-01-11 03:26:24 - mkk_comic - app.py:506 - INFO - 总页数: 180
2026-01-11 03:26:24 - mkk_comic - app.py:582 - INFO - 正在下载第 001/180 页...
2026-01-11 03:26:24 - mkk_comic - app.py:582 - INFO - 正在下载第 002/180 页...
2026-01-11 03:26:24 - mkk_comic - app.py:582 - INFO - 正在下载第 003/180 页...
2026-01-11 03:26:24 - mkk_comic - app.py:582 - INFO - 正在下载第 004/180 页...
2026-01-11 03:26:24 - mkk_comic - app.py:582 - INFO - 正在下载第 005/180 页...
2026-01-11 03:26:24 - mkk_comic - app.py:582 - INFO - 正在下载第 006/180 页...
2026-01-11 03:26:24 - mkk_comic - app.py:582 - INFO - 正在下载第 007/180 页...
2026-01-11 03:26:24 - mkk_comic - app.py:582 - INFO - 正在下载第 008/180 页...
2026-01-11 03:26:24 - mkk_comic - app.py:582 - INFO - 正在下载第 009/180 页...
2026-01-11 03:26:24 - mkk_comic - app.py:582 - INFO - 正在下载第 010/180 页...
2026-01-11 03:26:24 - mkk_comic - app.py:582 - INFO - 正在下载第 011/180 页...
2026-01-11 03:26:24 - mkk_comic - app.py:582 - INFO - 正在下载第 012/180 页...
2026-01-11 03:26:24 - mkk_comic - app.py:582 - INFO - 正在下载第 013/180 页...
2026-01-11 03:26:25 - mkk_comic - app.py:582 - INFO - 正在下载第 014/180 页...
2026-01-11 03:26:25 - mkk_comic - app.py:582 - INFO - 正在下载第 015/180 页...
2026-01-11 03:26:25 - mkk_comic - app.py:582 - INFO - 正在下载第 016/180 页...
2026-01-11 03:26:25 - mkk_comic - app.py:582 - INFO - 正在下载第 017/180 页...
2026-01-11 03:26:25 - mkk_comic - app.py:582 - INFO - 正在下载第 018/180 页...
2026-01-11 03:26:25 - mkk_comic - app.py:582 - INFO - 正在下载第 019/180 页...
2026-01-11 03:26:25 - mkk_comic - app.py:582 - INFO - 正在下载第 020/180 页...
2026-01-11 03:26:25 - mkk_comic - app.py:582 - INFO - 正在下载第 021/180 页...
2026-01-11 03:26:25 - mkk_comic - app.py:582 - INFO - 正在下载第 022/180 页...
2026-01-11 03:26:25 - mkk_comic - app.py:582 - INFO - 正在下载第 023/180 页...
2026-01-11 03:26:25 - mkk_comic - app.py:582 - INFO - 正在下载第 024/180 页...
2026-01-11 03:26:25 - mkk_comic - app.py:582 - INFO - 正在下载第 025/180 页...
2026-01-11 03:26:25 - mkk_comic - app.py:582 - INFO - 正在下载第 026/180 页...
2026-01-11 03:26:25 - mkk_comic - app.py:582 - INFO - 正在下载第 027/180 页...
2026-01-11 03:26:25 - mkk_comic - app.py:582 - INFO - 正在下载第 028/180 页...
2026-01-11 03:26:25 - mkk_comic - app.py:582 - INFO - 正在下载第 029/180 页...
2026-01-11 03:26:25 - mkk_comic - app.py:582 - INFO - 正在下载第 030/180 页...
2026-01-11 03:26:25 - mkk_comic - app.py:582 - INFO - 正在下载第 031/180 页...
2026-01-11 03:26:25 - mkk_comic - app.py:582 - INFO - 正在下载第 032/180 页...
2026-01-11 03:26:25 - mkk_comic - app.py:582 - INFO - 正在下载第 033/180 页...
2026-01-11 03:26:25 - mkk_comic - app.py:582 - INFO - 正在下载第 034/180 页...
2026-01-11 03:26:25 - mkk_comic - app.py:582 - INFO - 正在下载第 035/180 页...
2026-01-11 03:26:25 - mkk_comic - app.py:582 - INFO - 正在下载第 036/180 页...
2026-01-11 03:26:25 - mkk_comic - app.py:582 - INFO - 正在下载第 037/180 页...
2026-01-11 03:26:25 - mkk_comic - app.py:582 - INFO - 正在下载第 038/180 页...
2026-01-11 03:26:25 - mkk_comic - app.py:582 - INFO - 正在下载第 039/180 页...
2026-01-11 03:26:25 - mkk_comic - app.py:582 - INFO - 正在下载第 040/180 页...
2026-01-11 03:26:25 - mkk_comic - app.py:582 - INFO - 正在下载第 041/180 页...
2026-01-11 03:26:25 - mkk_comic - app.py:582 - INFO - 正在下载第 042/180 页...
2026-01-11 03:26:25 - mkk_comic - app.py:582 - INFO - 正在下载第 043/180 页...
2026-01-11 03:26:25 - mkk_comic - app.py:582 - INFO - 正在下载第 044/180 页...
2026-01-11 03:26:25 - mkk_comic - app.py:582 - INFO - 正在下载第 045/180 页...
2026-01-11 03:26:26 - mkk_comic - app.py:582 - INFO - 正在下载第 046/180 页...
2026-01-11 03:26:26 - mkk_comic - app.py:582 - INFO - 正在下载第 047/180 页...
2026-01-11 03:26:26 - mkk_comic - app.py:582 - INFO - 正在下载第 048/180 页...
2026-01-11 03:26:26 - mkk_comic - app.py:582 - INFO - 正在下载第 049/180 页...
2026-01-11 03:26:26 - mkk_comic - app.py:582 - INFO - 正在下载第 050/180 页...
2026-01-11 03:26:26 - mkk_comic - app.py:582 - INFO - 正在下载第 051/180 页...
2026-01-11 03:26:26 - mkk_comic - app.py:582 - INFO - 正在下载第 052/180 页...
2026-01-11 03:26:26 - mkk_comic - app.py:582 - INFO - 正在下载第 053/180 页...
2026-01-11 03:26:26 - mkk_comic - app.py:582 - INFO - 正在下载第 054/180 页...
2026-01-11 03:26:26 - mkk_comic - app.py:582 - INFO - 正在下载第 055/180 页...
2026-01-11 03:26:26 - mkk_comic - app.py:582 - INFO - 正在下载第 056/180 页...
2026-01-11 03:26:26 - mkk_comic - app.py:582 - INFO - 正在下载第 057/180 页...
2026-01-11 03:26:26 - mkk_comic - app.py:582 - INFO - 正在下载第 058/180 页...
2026-01-11 03:26:26 - mkk_comic - app.py:582 - INFO - 正在下载第 059/180 页...
2026-01-11 03:26:26 - mkk_comic - app.py:582 - INFO - 正在下载第 060/180 页...
2026-01-11 03:26:26 - mkk_comic - app.py:582 - INFO - 正在下载第 061/180 页...
2026-01-11 03:26:26 - mkk_comic - app.py:582 - INFO - 正在下载第 062/180 页...
