2026-01-13 03:15:35 - mkk_comic - app.py:863 - INFO - 运行环境：GitHub Actions（自动化模式）
2026-01-13 03:15:35 - mkk_comic - app.py:820 - INFO - ===== 开始检查更新=====
2026-01-13 03:15:35 - mkk_comic - app.py:838 - INFO - 【名侦探柯南】上次下载至第41章
2026-01-13 03:15:36 - mkk_comic - app.py:845 - INFO - 【名侦探柯南】检测到更新！最新：272章
2026-01-13 03:15:36 - mkk_comic - app.py:848 - INFO - 【名侦探柯南】最大下载限制为2章-需下载42~43章）
2026-01-13 03:15:37 - mkk_comic - app.py:494 - INFO - 正在下载第42章: 第42卷    UUID:d763d96b-c85e-11e8-8859-024352452ce0
2026-01-13 03:15:38 - mkk_comic - app.py:502 - INFO - 创建目录: ./out/名偵探柯南/第42卷
2026-01-13 03:15:38 - mkk_comic - app.py:505 - INFO - 开始下载: 名偵探柯南 - 第42卷
2026-01-13 03:15:38 - mkk_comic - app.py:506 - INFO - 总页数: 196
2026-01-13 03:15:38 - mkk_comic - app.py:582 - INFO - 正在下载第 001/196 页...
2026-01-13 03:15:38 - mkk_comic - app.py:582 - INFO - 正在下载第 002/196 页...
2026-01-13 03:15:38 - mkk_comic - app.py:582 - INFO - 正在下载第 003/196 页...
2026-01-13 03:15:38 - mkk_comic - app.py:582 - INFO - 正在下载第 004/196 页...
2026-01-13 03:15:38 - mkk_comic - app.py:582 - INFO - 正在下载第 005/196 页...
2026-01-13 03:15:38 - mkk_comic - app.py:582 - INFO - 正在下载第 006/196 页...
2026-01-13 03:15:38 - mkk_comic - app.py:582 - INFO - 正在下载第 007/196 页...
2026-01-13 03:15:38 - mkk_comic - app.py:582 - INFO - 正在下载第 008/196 页...
2026-01-13 03:15:38 - mkk_comic - app.py:582 - INFO - 正在下载第 009/196 页...
2026-01-13 03:15:38 - mkk_comic - app.py:582 - INFO - 正在下载第 010/196 页...
2026-01-13 03:15:38 - mkk_comic - app.py:582 - INFO - 正在下载第 011/196 页...
2026-01-13 03:15:38 - mkk_comic - app.py:582 - INFO - 正在下载第 012/196 页...
2026-01-13 03:15:38 - mkk_comic - app.py:582 - INFO - 正在下载第 013/196 页...
2026-01-13 03:15:38 - mkk_comic - app.py:582 - INFO - 正在下载第 014/196 页...
2026-01-13 03:15:38 - mkk_comic - app.py:582 - INFO - 正在下载第 015/196 页...
2026-01-13 03:15:38 - mkk_comic - app.py:582 - INFO - 正在下载第 016/196 页...
2026-01-13 03:15:38 - mkk_comic - app.py:582 - INFO - 正在下载第 017/196 页...
2026-01-13 03:15:38 - mkk_comic - app.py:582 - INFO - 正在下载第 018/196 页...
2026-01-13 03:15:38 - mkk_comic - app.py:582 - INFO - 正在下载第 019/196 页...
2026-01-13 03:15:38 - mkk_comic - app.py:582 - INFO - 正在下载第 020/196 页...
2026-01-13 03:15:38 - mkk_comic - app.py:582 - INFO - 正在下载第 021/196 页...
2026-01-13 03:15:38 - mkk_comic - app.py:582 - INFO - 正在下载第 022/196 页...
2026-01-13 03:15:39 - mkk_comic - app.py:582 - INFO - 正在下载第 023/196 页...
2026-01-13 03:15:39 - mkk_comic - app.py:582 - INFO - 正在下载第 024/196 页...
2026-01-13 03:15:39 - mkk_comic - app.py:582 - INFO - 正在下载第 025/196 页...
2026-01-13 03:15:39 - mkk_comic - app.py:582 - INFO - 正在下载第 026/196 页...
2026-01-13 03:15:39 - mkk_comic - app.py:582 - INFO - 正在下载第 027/196 页...
2026-01-13 03:15:39 - mkk_comic - app.py:582 - INFO - 正在下载第 028/196 页...
2026-01-13 03:15:39 - mkk_comic - app.py:582 - INFO - 正在下载第 029/196 页...
2026-01-13 03:15:39 - mkk_comic - app.py:582 - INFO - 正在下载第 030/196 页...
2026-01-13 03:15:39 - mkk_comic - app.py:582 - INFO - 正在下载第 031/196 页...
2026-01-13 03:15:39 - mkk_comic - app.py:582 - INFO - 正在下载第 032/196 页...
2026-01-13 03:15:39 - mkk_comic - app.py:582 - INFO - 正在下载第 033/196 页...
2026-01-13 03:15:39 - mkk_comic - app.py:582 - INFO - 正在下载第 034/196 页...
2026-01-13 03:15:39 - mkk_comic - app.py:582 - INFO - 正在下载第 035/196 页...
2026-01-13 03:15:39 - mkk_comic - app.py:582 - INFO - 正在下载第 036/196 页...
2026-01-13 03:15:39 - mkk_comic - app.py:582 - INFO - 正在下载第 037/196 页...
2026-01-13 03:15:39 - mkk_comic - app.py:582 - INFO - 正在下载第 038/196 页...
2026-01-13 03:15:39 - mkk_comic - app.py:582 - INFO - 正在下载第 039/196 页...
2026-01-13 03:15:39 - mkk_comic - app.py:582 - INFO - 正在下载第 040/196 页...
2026-01-13 03:15:39 - mkk_comic - app.py:582 - INFO - 正在下载第 041/196 页...
2026-01-13 03:15:39 - mkk_comic - app.py:582 - INFO - 正在下载第 042/196 页...
2026-01-13 03:15:39 - mkk_comic - app.py:582 - INFO - 正在下载第 043/196 页...
2026-01-13 03:15:39 - mkk_comic - app.py:582 - INFO - 正在下载第 044/196 页...
2026-01-13 03:15:39 - mkk_comic - app.py:582 - INFO - 正在下载第 045/196 页...
2026-01-13 03:15:39 - mkk_comic - app.py:582 - INFO - 正在下载第 046/196 页...
2026-01-13 03:15:39 - mkk_comic - app.py:582 - INFO - 正在下载第 047/196 页...
2026-01-13 03:15:39 - mkk_comic - app.py:582 - INFO - 正在下载第 048/196 页...
2026-01-13 03:15:39 - mkk_comic - app.py:582 - INFO - 正在下载第 049/196 页...
2026-01-13 03:15:39 - mkk_comic - app.py:582 - INFO - 正在下载第 050/196 页...
2026-01-13 03:15:39 - mkk_comic - app.py:582 - INFO - 正在下载第 051/196 页...
2026-01-13 03:15:40 - mkk_comic - app.py:582 - INFO - 正在下载第 052/196 页...
2026-01-13 03:15:40 - mkk_comic - app.py:582 - INFO - 正在下载第 053/196 页...
2026-01-13 03:15:40 - mkk_comic - app.py:582 - INFO - 正在下载第 054/196 页...
2026-01-13 03:15:40 - mkk_comic - app.py:582 - INFO - 正在下载第 055/196 页...
2026-01-13 03:15:40 - mkk_comic - app.py:582 - INFO - 正在下载第 056/196 页...
2026-01-13 03:15:40 - mkk_comic - app.py:582 - INFO - 正在下载第 057/196 页...
2026-01-13 03:15:40 - mkk_comic - app.py:582 - INFO - 正在下载第 058/196 页...
2026-01-13 03:15:40 - mkk_comic - app.py:582 - INFO - 正在下载第 059/196 页...
2026-01-13 03:15:40 - mkk_comic - app.py:582 - INFO - 正在下载第 060/196 页...
2026-01-13 03:15:40 - mkk_comic - app.py:582 - INFO - 正在下载第 061/196 页...
2026-01-13 03:15:40 - mkk_comic - app.py:582 - INFO - 正在下载第 062/196 页...
2026-01-13 03:15:40 - mkk_comic - app.py:582 - INFO - 正在下载第 063/196 页...
2026-01-13 03:15:40 - mkk_comic - app.py:582 - INFO - 正在下载第 064/196 页...
2026-01-13 03:15:40 - mkk_comic - app.py:582 - INFO - 正在下载第 065/196 页...
